county,state,season,latitude,longitude,date,classification,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,pressure,visibility,wind_bearing,wind_speed,condition_Clear,condition_Overcast,condition_partially_cloudy,condition_Rain,condition_Snow
Washakie County,Wyoming,Summer,39.376484600389865,-97.37305127192984,1945-07-14,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Wyoming County,West Virginia,Winter,37.58135,-81.29745,1946-01-17,Class A,38.0,30.0,22.0,17.5,61.7,66.7,0.0,0.204,100.0,1018.7,9.3,168.1,17.1,0,0,1,1,1
Windsor County,Vermont,Fall,43.4654,-72.7051,1946-09-03,Class A,64.0,52.0,46.0,49.3,90.6,100.0,0.25,3.208,100.0,1011.8,5.0,356.2,7.6,0,1,0,1,0
Wythe County,Virginia,Spring,37.22647,-81.09017,1938-03-13,Class A,59.0,48.0,37.0,28.1,49.2,76.2,0.25,0.0,0.0,1020.9,13.0,107.3,11.5,0,0,1,0,0
Wood County,Texas,Winter,32.7943,-95.5425,1950-02-26,Class A,75.0,71.0,68.0,58.6,64.7,52.9,0.5,0.09246594778660613,100.0,1016.9728384991843,10.5,180.4,20.8,0,0,1,0,0
Williamson County,Tennessee,Spring,39.376484600389865,-97.37305127192984,1938-04-13,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
York County,South Carolina,Fall,39.376484600389865,-97.37305127192984,1941-11-14,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Washington County,Rhode Island,Fall,41.45,-71.5,1947-10-13,Class A,78.0,71.0,66.0,65.7,85.2,96.7,0.25,0.0,0.0,1020.6,2.6,196.6,15.0,0,1,0,0,0
York County,Pennsylvania,Summer,39.376484600389865,-97.37305127192984,1946-08-07,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Yamhill County,Oregon,Spring,39.376484600389865,-97.37305127192984,1947-05-31,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Washita County,Oklahoma,Fall,35.3011,-99.1702,1947-11-16,Class A,73.0,60.0,48.0,51.2,75.7,14.0,0.0,0.0,0.0,1017.2,20.4,263.8,12.7,1,0,0,0,0
Washington County,Ohio,Summer,39.38745,-81.67339,1943-07-29,Class A,0.0,0.0,0.0,-6.316486965325231,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Westchester County,New York,Fall,41.29873,-73.73717,1944-11-26,Class A,91.0,78.0,67.0,66.0,69.0,9.0,0.75,0.0,0.0,1017.0,6.7,262.6,6.3,1,0,0,0,0
Washington County,Ohio,Summer,39.40877,-81.73172,1949-07-31,Class A,76.0,70.0,68.0,62.5,76.7,99.6,1.0,0.0,0.0,1014.2,3.6,348.9,11.2,0,1,0,0,0
Washington County,Ohio,Winter,39.54739,-81.39101,1949-02-22,Class A,61.0,49.0,41.0,43.7,81.8,27.5,0.0,0.0,0.0,1025.4,4.7,11.9,8.5,0,0,1,0,0
Washington County,Ohio,Summer,39.46019,-81.54855,1950-07-11,Class A,80.0,75.0,70.0,63.4,68.2,91.6,0.25,0.039,100.0,1012.7,4.6,199.2,13.9,0,1,0,1,0
Washington County,Ohio,Summer,39.3731,-81.65929,1948-08-12,Class A,84.0,74.0,66.0,66.9,79.2,67.4,0.25,0.079,100.0,1011.9,6.0,319.2,15.8,0,0,1,1,0
Washington County,Ohio,Fall,39.42635,-81.37085,1947-11-12,Class B,69.0,57.0,49.0,48.8,76.3,81.6,0.5,0.489,100.0,1011.4,8.6,207.2,18.3,0,0,1,1,0
York County,Pennsylvania,Summer,39.376484600389865,-97.37305127192984,1938-06-22,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Washington County,Rhode Island,Summer,41.432,-71.65183,1939-06-19,Class A,71.0,67.0,65.0,63.1,86.7,100.0,0.5,0.546,100.0,1014.7,6.9,178.9,13.9,0,1,0,1,0
Washington County,Rhode Island,Fall,41.4596,-71.58906,1937-09-12,Class B,46.0,37.0,30.0,24.0,62.3,21.9,0.5,0.0,0.0,1022.7,9.9,318.9,7.7,0,0,1,0,0
York County,South Carolina,Summer,35.0591,-81.11742,1948-06-12,Class B,92.0,79.0,72.0,72.2,80.9,49.1,0.25,0.297,100.0,1017.9,6.4,216.0,14.2,0,0,1,1,0
Wilson County,Tennessee,Winter,39.376484600389865,-97.37305127192984,1950-01-02,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.5,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Wilson County,Tennessee,Fall,35.9978,-86.2011,1945-10-07,Class B,57.0,48.0,40.0,23.0,38.5,56.1,1.0,0.0,0.0,1025.9,9.9,281.7,20.8,0,0,1,0,0
Wilson County,Tennessee,Summer,36.25466,-86.15759,1948-06-18,Class A,96.0,84.0,74.0,73.3,73.5,46.5,0.25,0.105,100.0,1015.3,9.7,193.0,11.4,0,0,1,1,0
Wilson County,Tennessee,Fall,39.376484600389865,-97.37305127192984,1941-10-28,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Wood County,Texas,Winter,32.69028,-95.61056,1944-02-20,Class A,80.0,69.0,61.0,61.3,77.6,94.6,0.25,0.0,0.0,1021.6,8.7,157.2,18.3,0,1,0,0,0
Wood County,Texas,Spring,32.85232,-95.46671,1944-04-20,Class A,66.0,59.0,53.0,50.4,74.0,51.7,0.0,0.091,100.0,1008.7,9.2,154.0,10.0,0,0,1,1,0
Weber County,Utah,Spring,41.5,-111.75,1948-05-10,Class A,66.0,59.0,53.0,50.4,74.0,51.7,0.0,0.091,100.0,1008.7,9.2,154.0,10.0,0,0,1,1,0
Weber County,Utah,Fall,39.376484600389865,-97.37305127192984,1945-10-11,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Weber County,Utah,Fall,39.376484600389865,-97.37305127192984,1943-09-08,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.25,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Weber County,Utah,Fall,39.376484600389865,-97.37305127192984,1945-09-24,Class A,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Weber County,Utah,Fall,39.376484600389865,-97.37305127192984,1942-10-05,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Weber County,Utah,Fall,41.41125,-111.5833,1946-09-09,Class B,85.0,77.0,69.0,47.8,36.8,33.5,0.75,0.0,0.0,1013.5,9.9,224.8,11.0,0,0,1,0,0
Wythe County,Virginia,Fall,37.00085,-80.8797,1937-11-08,Class B,53.0,44.0,37.0,31.4,61.2,66.3,1.0,0.0,0.0,1009.9,9.9,288.5,14.6,0,0,1,0,0
Wythe County,Virginia,Summer,36.932,-80.89,1950-07-18,Class B,85.0,72.0,63.0,63.2,76.2,9.3,0.25,0.0,0.0,1016.9728384991843,9.3,309.9,9.8,1,0,0,0,0
Wythe County,Virginia,Spring,37.0048,-81.11751,1943-05-14,Class A,70.0,58.0,44.0,35.5,44.1,8.2,0.25,0.0,0.0,1011.1,9.9,310.5,11.0,1,0,0,0,0
Windsor County,Vermont,Spring,43.43623,-72.43684,1944-03-05,Class B,81.0,61.0,37.0,35.3,45.2,11.3,0.25,0.0,0.0,1022.6,9.9,259.3,15.5,1,0,0,0,0
Yakima County,Washington,Fall,46.24639,-120.8681,1939-11-21,Class A,81.0,61.0,37.0,35.3,45.2,11.3,0.25,0.0,0.0,1022.6,9.9,259.3,15.5,1,0,0,0,0
Yakima County,Washington,Summer,46.71444,-120.6694,1945-07-14,Class A,82.0,68.0,54.0,49.0,55.5,0.0,0.75,0.0,0.0,1012.1,9.9,282.8,18.3,1,0,0,0,0
Yakima County,Washington,Fall,46.5602,-121.1458,1949-09-21,Class B,51.0,34.0,23.0,26.6,75.8,0.0,0.75,0.0,0.0,1029.8,8.5,280.5,8.1,1,0,0,0,0
Yakima County,Washington,Summer,46.87139,-121.2981,1942-07-21,Class B,61.0,54.0,44.0,45.0,73.5,46.3,0.5,0.123,100.0,1024.2,6.6,277.2,14.9,0,0,1,1,0
Yakima County,Washington,Summer,46.8733,-121.3051,1943-08-14,Class B,86.0,70.0,56.0,54.4,62.2,0.0,0.75,0.0,0.0,1013.3,8.9,258.9,14.1,1,0,0,0,0
Yakima County,Washington,Summer,46.82167,-121.2764,1948-06-10,Class B,74.0,64.0,55.0,50.6,64.3,17.5,0.75,0.0,0.0,1013.8,9.5,284.0,33.3,1,0,0,0,0
Yakima County,Washington,Winter,46.93333,-121.2692,1948-01-08,Class B,48.0,42.0,38.0,35.9,80.2,74.5,0.0,0.15,100.0,1000.2,8.2,133.2,9.5,0,0,1,1,0
Yakima County,Washington,Summer,46.0722,-121.3055,1949-07-28,Class A,62.0,56.0,50.0,45.7,68.8,77.8,0.75,0.012,100.0,1014.1,9.3,292.7,20.8,0,0,1,1,0
Yakima County,Washington,Fall,46.621,-121.0638,1941-10-24,Class B,45.0,38.0,31.0,30.1,71.9,86.3,0.5,0.0,0.0,1022.1,9.8,235.0,7.2,0,0,1,0,0
Yakima County,Washington,Summer,46.4984,-120.4474,1941-08-02,Class A,95.0,77.0,54.0,50.4,43.4,0.1,0.75,0.0,0.0,1016.2,10.0,282.2,7.9,1,0,0,0,0
Yakima County,Washington,Fall,46.80505,-121.0909,1937-11-06,Class A,35.0,28.0,16.0,16.6,64.3,67.5,0.5,0.0,0.0,1023.6,9.8,8.7,8.8,0,0,1,0,0
Yakima County,Washington,Summer,46.74778,-121.3603,1943-08-30,Class B,67.0,60.0,53.0,48.4,66.4,61.3,0.0,0.278,100.0,1011.1,7.7,267.3,10.4,0,0,1,1,0
Yakima County,Washington,Summer,46.85,-121.25,1937-07-25,Class A,69.0,59.0,49.0,43.9,59.8,25.5,0.25,0.014,100.0,1010.7,8.1,270.8,14.8,0,0,1,1,0
Yakima County,Washington,Fall,46.52485,-121.2957,1944-10-31,Class B,61.0,51.0,37.0,38.2,64.9,41.3,0.25,0.0,0.0,1012.3,9.9,234.4,13.9,0,0,1,0,0
Yakima County,Washington,Summer,39.376484600389865,-97.37305127192984,1947-07-13,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Yakima County,Washington,Summer,39.376484600389865,-97.37305127192984,1944-08-12,Class B,66.0,57.0,47.0,50.553003527117475,68.41756517337384,45.26552424473217,0.75,0.09246594778660613,100.0,1016.9728384991843,10.379775280898876,198.56520859671303,12.624558749369642,1,0,0,0,0
Yakima County,Washington,Spring,46.85524,-121.3034,1949-04-27,Class B,73.0,64.0,56.0,43.5,48.3,23.0,0.5,0.0,0.0,1018.8,9.9,306.9,16.0,0,0,1,0,0
